species,geo_distance,env_distance,phylo_distance
Aechmophorus occidentalis,9991187.854267754,5.11920424068384,167.70202111494282
Aegithalos caudatus,9581787.685513198,6.185678828395234,129.79075607920518
Aegithalos concinnus,10134584.461461797,3.716813467843882,129.7935931548667
Aegithalos fuliginosus,10040514.810229665,3.8430455819425577,129.78850407532474
Aegithalos iouschistos,9818534.241339708,4.460141726106339,129.78850407532474
Aegithalos leucogenys,9468164.328104982,5.57815056824053,129.7935931548667
Aegithalos niveogularis,9590957.483796146,4.14482049171792,129.78876824145823
Aegithina lafresnayei,10216888.935597217,3.3860471807070174,134.55227346957207
Aegithina nigrolutea,9617050.14522333,4.1931694907716395,134.55227346957207
Aegithina tiphia,9887822.801917681,3.3565778771891677,134.55228553247696
Aegithina viridissima,10530466.78346641,5.268184116162762,134.5565063124372
Aegolius acadicus,9858129.574333956,5.134636071313466,164.7483911289466
Aegolius funereus,9732682.037256379,6.20180904327358,164.74868477629963
Aegolius harrisii,9616165.089069305,3.4098019593947,164.7483911289466
Aegolius ridgwayi,9746011.585531201,3.061173052427671,164.74868477629963
Aegotheles albertisi,10554994.01833335,5.1704006702792,166.91533734393394
Aegotheles archboldi,10523854.246691218,8.582769352065029,166.9119158190504
Aegotheles bennettii,10544934.18615987,5.188229856309551,166.9131626886025
Aegotheles crinifrons,10537181.155632498,4.727193393265074,166.9137734485087
Aegotheles cristatus,10495935.646186724,4.747664547128402,166.9131626886025
Aegotheles insignis,10532485.522672553,5.374585054190374,166.9210476751175
Aegotheles savesi,10743192.770280788,4.062750966040501,166.9477421924495
Aegotheles tatei,10526403.812922617,13.526226902334596,166.9210476751175
Aegotheles wallacii,10527839.243544018,9.036554260140713,166.9119158190504
Aegypius monachus,9795446.140872093,5.37402382188378,164.29997171007395
Aepypodius arfakianus,10533577.484233271,5.419009458967154,188.80167733454496
Aepypodius bruijnii,10534029.287819691,6.508752576322282,188.80167733454496
Aeronautes andecolus,9772461.030816523,4.6843278875061065,165.31047202825357
Aeronautes montivagus,9479821.6703037,3.3923195081878106,165.31036333358475
Aeronautes saxatalis,10025988.639580531,5.324091508208273,165.31036333358475
Aethia cristatella,10372656.115991782,5.572925399599395,165.611867977313
